time_sec,ax,ay,az,gx,gy,gz,temp_c
0.009,0.316000,0.902000,0.263000,-2.962000,6.611000,6.595000,27.970000
0.017,0.296000,0.898000,0.271000,-2.382000,7.053000,6.893000,27.920000
0.029,0.296000,0.930000,0.279000,-3.168000,7.221000,7.794000,28.010000
0.037,0.292000,0.935000,0.263000,-7.504000,7.405000,7.198000,28.010000
0.049,0.302000,0.930000,0.274000,-4.969000,8.527000,6.595000,27.970000
0.057,0.300000,0.936000,0.255000,-3.534000,8.221000,5.725000,27.970000
0.071,0.272000,0.920000,0.240000,-4.695000,6.458000,3.664000,27.970000
0.077,0.267000,0.909000,0.223000,-6.687000,2.672000,0.809000,27.920000
0.089,0.302000,0.893000,0.208000,-4.023000,-0.534000,-1.252000,28.010000
0.102,0.339000,0.898000,0.199000,-3.252000,-2.260000,-1.290000,28.010000
0.109,0.372000,0.897000,0.188000,-4.237000,-1.557000,-0.038000,27.970000
0.121,0.402000,0.883000,0.184000,0.389000,1.885000,1.580000,27.970000
0.129,0.417000,0.883000,0.201000,1.038000,5.076000,4.573000,28.010000
0.142,0.430000,0.846000,0.195000,7.618000,9.183000,6.183000,27.920000
0.149,0.409000,0.871000,0.199000,10.115000,10.931000,7.427000,27.920000
0.162,0.384000,0.878000,0.206000,11.183000,10.710000,9.130000,27.920000
0.169,0.355000,0.882000,0.202000,12.672000,8.740000,9.328000,27.870000
0.181,0.345000,0.896000,0.217000,12.443000,4.611000,8.908000,27.920000
0.189,0.358000,0.901000,0.233000,12.450000,0.023000,8.565000,28.010000
0.202,0.367000,0.886000,0.243000,11.702000,-3.145000,8.282000,27.920000
0.210,0.397000,0.894000,0.238000,11.145000,-3.702000,8.595000,28.060000
0.222,0.432000,0.892000,0.254000,10.786000,-2.611000,10.634000,27.870000
0.229,0.434000,0.912000,0.254000,8.008000,-1.450000,13.473000,28.060000
0.241,0.441000,0.926000,0.263000,7.947000,0.985000,13.366000,28.110000
0.248,0.437000,0.910000,0.263000,8.802000,2.458000,11.069000,28.010000
0.261,0.459000,0.910000,0.267000,7.626000,1.847000,12.084000,28.060000
0.270,0.463000,0.909000,0.266000,6.237000,-0.405000,13.038000,27.970000
0.281,0.482000,0.890000,0.241000,7.000000,-1.748000,14.130000,27.870000
0.288,0.490000,0.861000,0.248000,8.977000,-2.550000,16.305000,28.010000
0.301,0.503000,0.885000,0.237000,10.656000,-2.214000,18.855000,27.920000
0.309,0.512000,0.909000,0.249000,12.076000,-1.130000,21.160000,28.110000
0.321,0.530000,0.921000,0.260000,11.351000,0.718000,22.282000,27.970000
0.328,0.554000,0.926000,0.255000,9.885000,6.145000,23.954000,27.970000
0.341,0.563000,0.914000,0.245000,13.260000,9.733000,29.275000,28.010000
0.347,0.547000,0.917000,0.252000,12.733000,15.588000,33.221000,27.920000
0.361,0.512000,0.924000,0.260000,12.282000,18.313000,36.878000,28.110000
0.369,0.487000,0.942000,0.253000,11.626000,19.595000,40.099000,28.010000
0.380,0.465000,0.957000,0.260000,10.466000,19.748000,41.229000,28.060000
0.387,0.439000,0.951000,0.250000,9.015000,19.023000,40.038000,27.970000
0.400,0.442000,0.980000,0.254000,9.092000,14.076000,42.214000,28.010000
0.409,0.461000,0.968000,0.260000,6.122000,12.733000,39.374000,27.920000
0.420,0.491000,0.920000,0.242000,5.473000,11.328000,38.908000,27.920000
0.427,0.501000,0.905000,0.248000,5.931000,12.565000,42.382000,27.970000
0.439,0.499000,0.894000,0.243000,6.092000,14.092000,44.710000,27.870000
0.452,0.485000,0.904000,0.234000,5.885000,16.489000,45.817000,27.920000
0.459,0.475000,0.920000,0.233000,6.496000,18.595000,46.023000,28.010000
0.472,0.453000,0.947000,0.247000,6.435000,18.290000,46.550000,28.010000
0.480,0.433000,0.961000,0.251000,4.427000,15.122000,44.221000,28.060000
0.492,0.442000,0.940000,0.250000,2.427000,9.916000,41.099000,28.060000
0.499,0.479000,0.900000,0.225000,1.511000,5.840000,41.641000,27.970000
0.511,0.526000,0.875000,0.208000,2.244000,5.649000,43.366000,28.010000
0.519,0.543000,0.851000,0.199000,4.802000,8.924000,45.183000,28.010000
0.531,0.530000,0.859000,0.204000,7.504000,11.252000,47.870000,28.010000
0.539,0.506000,0.881000,0.228000,8.344000,11.924000,46.985000,27.970000
0.552,0.493000,0.896000,0.244000,8.695000,8.405000,46.649000,27.970000
0.559,0.529000,0.916000,0.268000,4.000000,7.557000,45.260000,28.110000
0.572,0.598000,0.900000,0.258000,0.756000,7.855000,43.015000,28.010000
0.578,0.656000,0.864000,0.243000,-0.076000,11.702000,44.466000,27.920000
0.591,0.693000,0.844000,0.217000,0.466000,19.053000,50.359000,27.920000
0.598,0.701000,0.849000,0.218000,3.023000,27.947000,58.008000,27.970000
0.612,0.659000,0.896000,0.228000,6.198000,35.771000,63.389000,28.150000
0.619,0.617000,0.961000,0.250000,4.382000,39.908000,62.847000,28.010000
0.631,0.588000,0.950000,0.244000,1.221000,39.107000,60.069000,28.010000
0.638,0.573000,0.895000,0.214000,-2.519000,37.115000,58.771000,28.010000
0.650,0.582000,0.870000,0.171000,-4.496000,32.916000,58.420000,28.060000
0.659,0.604000,0.829000,0.136000,-3.695000,28.115000,58.389000,28.060000
0.670,0.614000,0.775000,0.114000,-1.153000,25.718000,58.206000,27.920000
0.679,0.618000,0.769000,0.106000,3.763000,22.947000,60.359000,27.920000
0.690,0.608000,0.784000,0.122000,7.779000,18.168000,61.137000,27.920000
0.697,0.602000,0.799000,0.151000,12.466000,10.053000,61.351000,28.060000
0.711,0.613000,0.857000,0.193000,12.901000,1.092000,61.611000,27.970000
0.717,0.646000,0.864000,0.216000,10.702000,-6.015000,58.168000,28.060000
0.730,0.680000,0.843000,0.223000,9.626000,-10.374000,55.191000,28.010000
0.735,0.726000,0.814000,0.220000,8.962000,-12.084000,53.794000,28.010000
0.749,0.781000,0.802000,0.225000,10.489000,-10.443000,54.328000,28.010000
0.761,0.832000,0.796000,0.238000,13.504000,-7.252000,57.511000,27.970000
0.769,0.873000,0.806000,0.257000,14.366000,0.267000,59.321000,27.970000
0.781,0.891000,0.808000,0.256000,16.534000,7.351000,60.931000,28.110000
0.788,0.886000,0.828000,0.281000,17.832000,12.198000,65.870000,28.010000
0.801,0.859000,0.834000,0.280000,17.267000,12.290000,69.985000,28.010000
0.809,0.821000,0.839000,0.304000,16.382000,9.321000,74.206000,28.010000
0.821,0.790000,0.836000,0.312000,15.664000,5.481000,76.336000,27.970000
0.828,0.802000,0.842000,0.333000,13.229000,2.420000,76.855000,27.970000
0.841,0.820000,0.847000,0.356000,10.191000,2.191000,78.733000,28.010000
0.848,0.841000,0.835000,0.359000,6.176000,3.863000,78.885000,28.010000
0.861,0.853000,0.825000,0.334000,3.763000,8.092000,79.191000,27.970000
0.869,0.857000,0.816000,0.338000,-0.122000,13.450000,81.290000,28.060000
0.881,0.860000,0.757000,0.306000,0.260000,16.924000,83.443000,27.970000
0.888,0.837000,0.717000,0.290000,6.084000,19.870000,83.366000,27.920000
0.900,0.821000,0.726000,0.300000,8.183000,23.046000,86.107000,28.010000
0.909,0.792000,0.748000,0.316000,11.282000,23.542000,86.740000,28.010000
0.920,0.767000,0.773000,0.333000,8.947000,21.435000,87.183000,27.970000
0.928,0.749000,0.791000,0.363000,3.458000,16.458000,87.809000,27.970000
0.940,0.781000,0.786000,0.377000,-3.374000,14.496000,88.618000,28.010000
0.947,0.827000,0.747000,0.375000,-5.985000,17.137000,87.130000,27.920000
0.961,0.864000,0.727000,0.366000,-7.191000,24.031000,87.023000,28.010000
0.966,0.821000,0.671000,0.377000,-4.908000,28.298000,88.481000,27.970000
0.980,0.773000,0.670000,0.348000,-3.962000,27.038000,87.695000,27.970000
0.992,0.738000,0.646000,0.337000,-7.718000,22.427000,86.466000,27.970000
0.999,0.717000,0.657000,0.339000,-10.641000,14.588000,88.679000,28.010000
1.011,0.750000,0.684000,0.363000,-14.962000,9.893000,84.481000,28.010000
1.019,0.786000,0.688000,0.357000,-17.603000,5.504000,80.313000,28.010000
1.031,0.780000,0.685000,0.378000,-20.473000,-2.885000,76.687000,27.870000
1.038,0.766000,0.607000,0.358000,-21.977000,-19.252000,66.351000,27.970000
1.050,0.838000,0.541000,0.333000,-16.565000,-33.427000,51.550000,27.920000
1.060,0.889000,0.480000,0.318000,-11.244000,-44.924000,41.504000,27.920000
1.070,0.986000,0.465000,0.289000,-0.695000,-51.328000,41.573000,27.970000
1.076,1.070000,0.492000,0.281000,10.214000,-56.557000,58.947000,27.970000
1.089,1.140000,0.526000,0.280000,7.168000,-50.198000,58.824000,27.870000
1.102,1.167000,0.554000,0.283000,7.824000,-34.527000,62.542000,28.010000
1.109,1.167000,0.540000,0.267000,8.435000,-15.191000,64.382000,27.920000
1.122,1.132000,0.543000,0.251000,8.198000,4.748000,70.405000,28.010000
1.129,1.030000,0.538000,0.254000,6.954000,18.443000,79.527000,27.970000
1.142,0.918000,0.552000,0.264000,2.450000,24.466000,83.885000,27.970000
1.148,0.887000,0.597000,0.305000,-1.565000,26.191000,85.489000,28.010000
1.161,0.873000,0.607000,0.320000,-4.779000,28.084000,84.229000,28.010000
1.169,0.877000,0.612000,0.315000,-6.824000,29.832000,85.450000,28.010000
1.181,0.874000,0.569000,0.317000,-8.130000,33.573000,85.611000,27.970000
1.188,0.840000,0.511000,0.290000,-8.718000,36.061000,86.099000,28.060000
1.200,0.782000,0.426000,0.289000,-9.855000,34.718000,83.588000,28.060000
1.210,0.722000,0.403000,0.257000,-11.679000,25.954000,82.649000,27.920000
1.220,0.695000,0.401000,0.261000,-12.550000,12.588000,80.740000,28.010000
1.228,0.726000,0.445000,0.289000,-9.947000,-0.748000,77.985000,28.010000
1.239,0.802000,0.481000,0.326000,-10.588000,-8.176000,76.374000,28.010000
1.252,0.858000,0.464000,0.314000,-12.061000,-9.794000,69.298000,27.970000
1.259,0.959000,0.429000,0.294000,-11.359000,-0.198000,61.664000,27.970000
1.271,1.037000,0.374000,0.280000,-7.756000,20.611000,60.542000,28.010000
1.279,1.034000,0.344000,0.258000,0.672000,44.168000,65.229000,28.010000
1.291,0.914000,0.370000,0.275000,8.122000,59.504000,67.748000,27.970000
1.298,0.810000,0.408000,0.301000,7.122000,68.847000,60.924000,27.870000
1.311,0.741000,0.420000,0.346000,4.122000,69.519000,51.397000,27.970000
1.319,0.715000,0.381000,0.340000,0.420000,65.954000,41.092000,28.010000
1.331,0.736000,0.351000,0.332000,-3.191000,64.389000,36.145000,28.010000
1.338,0.768000,0.267000,0.323000,-3.137000,61.511000,37.046000,27.920000
1.350,0.748000,0.231000,0.315000,-2.221000,59.420000,41.870000,27.970000
1.359,0.681000,0.271000,0.346000,-1.519000,48.321000,48.756000,27.970000
1.370,0.622000,0.336000,0.394000,-0.664000,30.916000,46.015000,27.970000
1.378,0.658000,0.379000,0.414000,-8.130000,20.725000,36.237000,28.010000
1.390,0.749000,0.361000,0.435000,-15.290000,15.069000,31.382000,27.920000
1.397,0.864000,0.313000,0.425000,-21.885000,19.664000,30.298000,27.970000
1.411,0.956000,0.229000,0.401000,-25.351000,31.092000,36.397000,27.970000
1.422,0.948000,0.194000,0.400000,-25.649000,44.733000,47.664000,27.970000
1.429,0.849000,0.231000,0.390000,-26.679000,51.115000,54.740000,27.920000
1.441,0.780000,0.269000,0.425000,-28.649000,52.450000,54.863000,28.010000
1.448,0.759000,0.270000,0.431000,-36.183000,53.313000,48.809000,28.010000
1.461,0.769000,0.196000,0.409000,-31.260000,54.130000,43.557000,28.010000
1.470,0.772000,0.178000,0.398000,-29.031000,59.206000,40.947000,27.970000
1.480,0.773000,0.119000,0.376000,-25.565000,63.924000,38.870000,27.870000
1.487,0.738000,0.106000,0.355000,-24.023000,69.069000,39.305000,28.010000
1.500,0.656000,0.108000,0.352000,-22.824000,69.168000,34.954000,28.010000
1.510,0.614000,0.109000,0.352000,-14.122000,67.924000,25.977000,27.920000
1.521,0.553000,0.120000,0.353000,-10.626000,58.634000,14.641000,27.870000
1.532,0.543000,0.107000,0.364000,-8.214000,45.328000,8.115000,27.970000
1.539,0.557000,0.069000,0.396000,-5.702000,34.893000,4.573000,28.010000
1.551,0.605000,0.050000,0.400000,-6.992000,29.282000,7.443000,28.010000
1.560,0.613000,0.041000,0.384000,-5.885000,24.824000,2.794000,28.010000
1.571,0.613000,0.101000,0.363000,-5.313000,18.183000,-2.901000,28.060000
1.579,0.647000,0.117000,0.439000,-3.076000,14.908000,-4.985000,27.970000
1.591,0.704000,0.158000,0.432000,-4.893000,18.962000,-7.618000,27.970000
1.598,0.764000,0.092000,0.394000,-12.168000,21.168000,-8.008000,28.010000
1.611,0.821000,0.018000,0.376000,-12.473000,27.221000,-1.496000,28.010000
1.620,0.801000,0.021000,0.366000,-11.328000,30.618000,5.672000,27.920000
1.630,0.751000,0.043000,0.392000,-9.466000,28.794000,12.038000,27.870000
1.637,0.672000,0.071000,0.414000,-10.099000,24.817000,14.206000,28.060000
1.650,0.625000,0.094000,0.452000,-13.954000,21.229000,16.382000,28.110000
1.659,0.641000,0.040000,0.444000,-19.649000,21.679000,13.878000,27.920000
1.670,0.675000,-0.001000,0.417000,-19.183000,25.588000,10.229000,28.010000
1.682,0.680000,-0.054000,0.389000,-15.832000,26.985000,12.969000,28.010000
1.688,0.622000,-0.091000,0.387000,-7.794000,22.565000,11.992000,27.970000
1.701,0.585000,-0.031000,0.404000,-1.847000,15.298000,6.435000,27.870000
1.709,0.600000,-0.008000,0.440000,-0.718000,6.740000,4.618000,28.010000
1.721,0.670000,0.002000,0.446000,-2.305000,6.275000,5.405000,28.010000
1.728,0.736000,0.003000,0.452000,-12.092000,15.366000,8.282000,28.010000
1.740,0.763000,-0.076000,0.444000,-19.145000,27.809000,11.794000,28.060000
1.747,0.709000,-0.133000,0.410000,-17.656000,37.924000,11.977000,27.970000
1.761,0.602000,-0.093000,0.398000,-16.466000,36.435000,12.382000,27.970000
1.767,0.502000,-0.090000,0.414000,-11.748000,25.573000,10.916000,28.010000
1.780,0.481000,-0.080000,0.433000,-9.565000,13.481000,8.137000,28.010000
1.792,0.522000,-0.079000,0.444000,-13.840000,3.405000,11.809000,27.970000
1.799,0.594000,-0.081000,0.429000,-21.603000,4.947000,15.160000,28.060000
1.811,0.641000,-0.132000,0.374000,-24.344000,13.443000,15.061000,28.060000
1.818,0.641000,-0.171000,0.319000,-26.702000,19.176000,10.565000,27.920000
1.831,0.640000,-0.187000,0.297000,-21.534000,21.237000,8.626000,28.010000
1.838,0.589000,-0.153000,0.301000,-14.405000,15.634000,6.573000,28.010000
1.850,0.557000,-0.133000,0.333000,-6.939000,0.878000,9.107000,28.060000
1.859,0.551000,-0.136000,0.375000,-0.977000,-9.885000,11.809000,28.060000
1.870,0.585000,-0.089000,0.426000,-0.504000,-11.252000,13.115000,28.060000
1.878,0.604000,-0.117000,0.448000,-0.481000,-8.504000,8.908000,28.010000
1.889,0.630000,-0.104000,0.461000,-1.817000,2.046000,-1.550000,27.920000
1.901,0.638000,-0.111000,0.455000,-3.771000,11.221000,-10.687000,28.010000
1.909,0.597000,-0.102000,0.447000,-2.046000,12.420000,-9.817000,27.920000
1.921,0.566000,-0.105000,0.437000,2.336000,7.015000,-10.588000,28.060000
1.929,0.557000,-0.106000,0.448000,9.412000,-2.397000,-10.817000,28.010000
1.941,0.557000,-0.089000,0.478000,15.015000,-11.863000,-8.893000,27.920000
1.947,0.591000,-0.157000,0.478000,16.511000,-20.840000,-9.328000,28.010000
1.961,0.625000,-0.137000,0.476000,17.053000,-21.504000,-11.397000,27.970000
1.967,0.672000,-0.129000,0.478000,19.511000,-20.550000,-13.252000,27.870000
1.979,0.685000,-0.094000,0.467000,15.664000,-20.725000,-12.489000,28.060000
1.991,0.673000,-0.077000,0.463000,18.733000,-22.939000,-9.634000,28.010000
1.998,0.688000,-0.056000,0.475000,23.908000,-27.649000,-11.229000,27.920000
2.011,0.720000,-0.052000,0.478000,29.176000,-27.298000,-13.206000,27.920000
2.019,0.747000,-0.076000,0.496000,32.870000,-27.061000,-11.198000,27.970000
2.030,0.750000,-0.067000,0.533000,37.382000,-25.870000,-12.519000,27.970000
2.042,0.759000,-0.056000,0.531000,34.893000,-18.519000,-14.443000,27.970000
2.049,0.763000,-0.037000,0.502000,28.221000,-15.878000,-16.794000,27.820000
2.062,0.731000,-0.034000,0.479000,24.763000,-15.618000,-16.687000,28.010000
2.069,0.710000,-0.022000,0.474000,26.969000,-18.664000,-17.412000,27.970000
2.080,0.692000,0.001000,0.469000,31.328000,-24.870000,-20.290000,27.970000
2.087,0.658000,0.026000,0.476000,36.786000,-33.679000,-24.863000,28.060000
2.100,0.657000,0.063000,0.497000,37.771000,-40.916000,-26.397000,28.010000
2.105,0.689000,0.057000,0.532000,32.397000,-44.336000,-27.084000,28.010000
2.120,0.727000,0.054000,0.520000,27.733000,-44.130000,-24.351000,27.920000
2.131,0.792000,0.082000,0.499000,17.695000,-32.168000,-24.634000,28.010000
2.138,0.814000,0.085000,0.458000,11.107000,-19.611000,-25.908000,27.970000
2.151,0.806000,0.082000,0.434000,10.687000,-4.580000,-28.977000,28.010000
2.159,0.765000,0.083000,0.409000,12.916000,8.115000,-30.718000,27.920000
2.171,0.697000,0.084000,0.403000,13.588000,7.389000,-27.076000,28.010000
2.178,0.635000,0.109000,0.421000,6.191000,6.885000,-25.588000,27.970000
2.190,0.629000,0.095000,0.394000,3.252000,5.221000,-27.779000,27.970000
