time_sec,ax,ay,az,gx,gy,gz,temp_c
0.009,-0.228000,-0.803000,0.498000,-50.168000,34.366000,-5.740000,31.020000
0.015,-0.228000,-0.764000,0.517000,-43.084000,43.817000,-3.305000,30.930000
0.028,-0.200000,-0.756000,0.463000,-43.000000,61.305000,-5.137000,31.120000
0.040,-0.220000,-0.701000,0.457000,-46.756000,74.023000,-12.008000,31.070000
0.046,-0.262000,-0.688000,0.387000,-57.481000,83.290000,-18.924000,31.120000
0.059,-0.310000,-0.706000,0.324000,-66.863000,77.130000,-20.382000,31.070000
0.071,-0.305000,-0.793000,0.266000,-73.221000,65.779000,-17.863000,31.070000
0.078,-0.329000,-0.759000,0.223000,-77.611000,52.359000,-16.901000,31.120000
0.092,-0.303000,-0.765000,0.192000,-80.084000,31.595000,-9.244000,31.120000
0.097,-0.258000,-0.763000,0.162000,-88.229000,17.504000,-3.878000,31.070000
0.109,-0.178000,-0.800000,0.157000,-93.863000,9.878000,-0.794000,31.020000
0.115,-0.196000,-0.839000,0.146000,-100.290000,12.260000,-0.473000,31.020000
0.128,-0.205000,-0.910000,0.108000,-95.015000,9.389000,2.824000,31.070000
0.140,-0.169000,-0.928000,0.080000,-85.603000,12.099000,0.733000,31.070000
0.147,-0.198000,-0.960000,0.036000,-75.870000,10.832000,-1.710000,31.020000
0.159,-0.219000,-0.906000,-0.026000,-69.366000,4.168000,20.267000,31.120000
0.167,-0.256000,-1.054000,-0.055000,-53.527000,7.885000,-0.679000,31.070000
0.178,-0.182000,-1.126000,-0.029000,-32.687000,19.053000,0.260000,31.120000
0.186,-0.057000,-1.150000,0.029000,-7.275000,49.282000,-3.275000,31.020000
0.197,-0.075000,-1.074000,0.067000,12.359000,86.252000,-11.099000,31.170000
0.210,-0.290000,-0.644000,0.065000,11.183000,85.565000,11.321000,31.120000
0.217,-0.526000,-0.821000,-0.060000,-8.718000,55.260000,-1.031000,31.120000
0.230,-0.626000,-0.741000,-0.103000,-32.824000,8.496000,-10.580000,31.070000
0.236,-0.556000,-0.737000,-0.072000,-55.458000,-31.748000,-23.504000,31.070000
0.247,-0.329000,-0.829000,-0.042000,-70.985000,-53.885000,-31.313000,31.020000
0.259,-0.090000,-0.967000,-0.058000,-76.901000,-57.450000,-35.053000,31.070000
0.268,0.043000,-1.126000,-0.081000,-73.511000,-55.321000,-30.450000,30.980000
0.278,0.125000,-1.246000,-0.149000,-58.260000,-51.740000,-20.687000,31.020000
0.289,0.163000,-1.319000,-0.222000,-44.160000,-50.557000,-8.221000,30.930000
0.296,0.158000,-1.331000,-0.205000,-25.626000,-31.473000,-6.847000,30.880000
0.308,0.119000,-1.301000,-0.164000,-3.389000,-11.397000,-1.763000,31.020000
0.318,0.104000,-1.258000,-0.116000,14.725000,5.763000,2.374000,31.020000
0.328,0.018000,-1.157000,-0.055000,25.573000,18.687000,5.855000,31.070000
0.341,-0.103000,-1.065000,-0.032000,28.122000,20.107000,8.008000,31.070000
0.347,-0.197000,-0.998000,0.013000,28.664000,14.985000,10.061000,30.930000
0.360,-0.268000,-0.927000,0.053000,27.099000,8.573000,8.702000,31.070000
0.367,-0.306000,-0.918000,0.114000,23.031000,3.160000,5.824000,31.070000
0.379,-0.323000,-0.904000,0.140000,21.328000,-0.176000,1.863000,30.930000
0.387,-0.328000,-0.916000,0.183000,21.954000,0.977000,-1.282000,31.020000
0.398,-0.296000,-0.924000,0.219000,21.137000,7.931000,-4.954000,31.070000
0.405,-0.283000,-0.942000,0.250000,21.206000,13.298000,-4.855000,31.070000
0.418,-0.276000,-0.900000,0.289000,17.473000,17.573000,-6.046000,31.020000
0.430,-0.321000,-0.866000,0.292000,8.969000,22.687000,-9.153000,31.020000
0.437,-0.348000,-0.852000,0.265000,1.511000,10.679000,-8.336000,31.070000
0.449,-0.330000,-0.864000,0.265000,-8.038000,0.153000,-8.412000,31.020000
0.456,-0.309000,-0.938000,0.227000,-13.840000,-8.901000,-8.389000,31.020000
0.469,-0.248000,-1.000000,0.201000,-15.351000,-13.405000,-10.008000,30.980000
0.480,-0.194000,-1.056000,0.209000,-14.687000,-9.511000,-12.885000,31.020000
0.487,-0.141000,-1.079000,0.192000,-13.534000,-4.397000,-13.489000,31.120000
0.499,-0.121000,-1.075000,0.210000,-13.847000,5.290000,-13.496000,31.070000
0.506,-0.170000,-1.027000,0.209000,-17.443000,1.099000,-10.260000,30.980000
0.519,-0.232000,-0.993000,0.199000,-26.420000,-9.168000,-8.786000,31.020000
0.530,-0.269000,-0.989000,0.183000,-36.695000,-24.802000,-8.809000,30.980000
0.537,-0.250000,-1.012000,0.168000,-45.855000,-42.702000,-7.901000,31.070000
0.549,-0.198000,-1.050000,0.171000,-46.275000,-60.328000,-4.489000,31.020000
0.555,-0.128000,-1.098000,0.177000,-41.450000,-69.351000,1.466000,31.020000
0.569,-0.043000,-1.100000,0.168000,-37.313000,-67.603000,4.038000,31.070000
0.580,0.041000,-1.078000,0.180000,-40.840000,-41.664000,-3.496000,31.120000
0.587,0.021000,-1.123000,0.162000,-37.969000,-25.344000,-2.282000,31.020000
0.599,-0.026000,-1.137000,0.150000,-31.802000,-12.389000,0.924000,30.980000
0.606,-0.054000,-1.110000,0.118000,-25.969000,1.053000,4.771000,30.980000
0.619,-0.118000,-1.097000,0.086000,-19.710000,10.908000,6.901000,30.930000
0.626,-0.166000,-1.053000,0.061000,-16.916000,11.664000,9.817000,30.980000
0.638,-0.255000,-1.025000,0.022000,-18.817000,-1.908000,16.878000,30.980000
0.649,-0.284000,-1.037000,0.001000,-23.374000,-11.695000,19.321000,31.020000
0.656,-0.297000,-1.061000,0.025000,-27.275000,-18.618000,18.763000,31.020000
0.669,-0.303000,-1.069000,0.055000,-26.061000,-31.824000,21.374000,30.980000
0.676,-0.254000,-1.039000,0.085000,-27.046000,-33.168000,19.809000,30.980000
0.688,-0.229000,-1.031000,0.091000,-31.046000,-27.061000,15.817000,31.020000
0.699,-0.224000,-1.013000,0.086000,-30.489000,-23.527000,11.679000,31.020000
0.706,-0.243000,-1.060000,0.039000,-29.473000,-17.649000,6.626000,31.070000
0.719,-0.281000,-1.081000,0.006000,-25.504000,-14.916000,2.756000,31.020000
0.730,-0.329000,-1.063000,-0.015000,-21.832000,-14.038000,-1.496000,31.020000
0.738,-0.301000,-1.042000,-0.027000,-20.725000,-12.069000,-8.305000,31.070000
0.749,-0.258000,-1.015000,-0.018000,-22.847000,-8.015000,-15.374000,31.120000
0.755,-0.211000,-0.982000,0.015000,-23.969000,1.939000,-22.206000,31.020000
0.769,-0.205000,-0.999000,0.029000,-24.130000,7.687000,-25.122000,31.070000
0.780,-0.183000,-1.045000,-0.010000,-21.664000,5.443000,-24.099000,30.980000
0.787,-0.177000,-1.050000,-0.016000,-20.023000,5.573000,-24.427000,31.020000
0.799,-0.203000,-1.062000,-0.063000,-16.183000,0.527000,-22.443000,30.980000
0.805,-0.131000,-1.048000,-0.082000,-13.473000,-4.664000,-18.733000,31.070000
0.818,-0.154000,-1.000000,-0.091000,-15.611000,-5.611000,-16.359000,31.020000
0.830,-0.153000,-0.993000,-0.092000,-16.282000,-2.748000,-15.962000,31.020000
0.837,-0.130000,-0.979000,-0.081000,-14.031000,0.481000,-13.901000,31.170000
