time_sec,ax,ay,az,gx,gy,gz,temp_c
0.012,-0.300000,-0.771000,0.233000,-72.595000,-19.802000,10.427000,28.290000
0.018,-0.292000,-0.788000,0.225000,-68.344000,-21.901000,5.817000,28.290000
0.030,-0.263000,-0.776000,0.225000,-63.221000,-17.542000,2.771000,28.440000
0.037,-0.244000,-0.782000,0.212000,-59.244000,-14.023000,3.153000,28.250000
0.049,-0.217000,-0.775000,0.210000,-54.992000,-7.084000,4.939000,28.390000
0.056,-0.237000,-0.769000,0.198000,-51.748000,-1.855000,8.008000,28.290000
0.068,-0.275000,-0.784000,0.152000,-49.084000,-3.015000,11.702000,28.390000
0.081,-0.318000,-0.811000,0.124000,-45.420000,-6.931000,11.947000,28.290000
0.088,-0.319000,-0.820000,0.120000,-42.496000,-7.420000,7.252000,28.340000
0.100,-0.287000,-0.847000,0.148000,-38.710000,-5.580000,0.595000,28.390000
0.106,-0.250000,-0.839000,0.171000,-36.351000,-3.267000,-2.641000,28.390000
0.119,-0.216000,-0.857000,0.157000,-34.885000,-2.237000,-0.069000,28.340000
0.125,-0.185000,-0.866000,0.149000,-33.435000,-4.511000,7.748000,28.340000
0.138,-0.201000,-0.912000,0.126000,-28.588000,-3.504000,15.924000,28.440000
0.150,-0.211000,-0.918000,0.122000,-23.977000,2.496000,21.519000,28.390000
0.157,-0.241000,-0.909000,0.117000,-19.687000,6.489000,23.130000,28.390000
0.169,-0.266000,-0.891000,0.102000,-17.260000,8.992000,21.397000,28.340000
0.176,-0.284000,-0.938000,0.102000,-14.542000,8.519000,18.595000,28.440000
0.188,-0.258000,-1.003000,0.105000,-6.626000,17.679000,16.389000,28.340000
0.201,-0.200000,-1.036000,0.116000,2.710000,24.244000,18.992000,28.290000
0.207,-0.167000,-1.032000,0.125000,12.763000,33.634000,24.725000,28.390000
0.220,-0.185000,-1.011000,0.129000,19.290000,40.771000,31.763000,28.340000
0.227,-0.285000,-0.956000,0.103000,21.733000,40.023000,36.328000,28.440000
0.239,-0.384000,-0.886000,0.100000,18.817000,37.527000,33.817000,28.390000
0.247,-0.455000,-0.840000,0.113000,14.565000,31.855000,25.733000,28.480000
0.258,-0.490000,-0.833000,0.131000,10.229000,20.771000,14.855000,28.290000
0.271,-0.466000,-0.831000,0.168000,5.038000,14.000000,1.168000,28.390000
0.280,-0.408000,-0.843000,0.198000,-0.870000,5.496000,-8.634000,28.340000
0.290,-0.355000,-0.874000,0.206000,-5.809000,-6.046000,-12.260000,28.290000
0.297,-0.309000,-0.900000,0.220000,-10.336000,-10.718000,-13.168000,28.390000
0.308,-0.260000,-0.943000,0.213000,-12.382000,-12.534000,-10.664000,28.480000
0.320,-0.196000,-0.987000,0.208000,-11.145000,-9.038000,-7.511000,28.340000
0.330,-0.163000,-1.005000,0.210000,-7.733000,-0.908000,-5.664000,28.340000
0.340,-0.181000,-1.014000,0.192000,-5.733000,9.053000,-2.634000,28.290000
0.348,-0.217000,-1.009000,0.203000,-1.794000,10.420000,2.336000,28.390000
0.359,-0.250000,-0.994000,0.205000,-1.992000,12.931000,4.679000,28.440000
0.366,-0.299000,-1.003000,0.196000,0.191000,7.336000,7.710000,28.340000
0.379,-0.305000,-1.009000,0.169000,0.573000,2.947000,7.351000,28.340000
0.387,-0.317000,-1.016000,0.176000,2.656000,-7.931000,6.626000,28.390000
0.398,-0.252000,-1.015000,0.207000,2.053000,-6.924000,1.137000,28.290000
0.410,-0.236000,-1.024000,0.224000,3.458000,-6.290000,-1.786000,28.340000
0.417,-0.195000,-1.003000,0.265000,2.664000,-0.374000,-4.527000,28.250000
0.431,-0.183000,-0.996000,0.283000,2.977000,1.649000,-2.290000,28.390000
0.438,-0.173000,-0.979000,0.299000,-0.809000,6.550000,1.992000,28.390000
0.449,-0.205000,-0.993000,0.279000,-4.137000,6.664000,8.870000,28.480000
0.456,-0.245000,-1.015000,0.248000,-6.084000,1.649000,13.122000,28.440000
0.469,-0.322000,-1.017000,0.213000,-9.298000,-6.908000,14.473000,28.340000
0.476,-0.374000,-1.041000,0.172000,-12.786000,-22.252000,14.290000,28.390000
0.488,-0.303000,-1.032000,0.177000,-12.863000,-28.763000,3.947000,28.290000
0.500,-0.278000,-1.021000,0.203000,-12.977000,-32.519000,-4.840000,28.440000
0.506,-0.204000,-0.991000,0.241000,-14.221000,-26.397000,-16.046000,28.340000
0.519,-0.229000,-0.976000,0.260000,-19.015000,-16.977000,-20.221000,28.340000
0.531,-0.248000,-0.960000,0.234000,-26.550000,-19.824000,-19.641000,28.390000
0.537,-0.257000,-0.999000,0.224000,-33.977000,-15.679000,-21.794000,28.390000
0.549,-0.260000,-1.062000,0.210000,-35.656000,-16.115000,-20.977000,28.440000
0.555,-0.248000,-1.093000,0.217000,-37.450000,-12.847000,-22.557000,28.340000
0.568,-0.229000,-1.115000,0.201000,-34.229000,-11.779000,-20.855000,28.340000
0.580,-0.214000,-1.098000,0.176000,-27.252000,-15.595000,-16.519000,28.390000
0.587,-0.208000,-1.074000,0.128000,-22.160000,-18.580000,-11.015000,28.390000
0.598,-0.191000,-1.075000,0.128000,-24.527000,-14.992000,-7.450000,28.250000
0.604,-0.107000,-1.049000,0.134000,-31.573000,3.008000,-12.511000,28.340000
0.617,-0.150000,-1.104000,0.111000,-32.008000,10.840000,-12.389000,28.390000
0.630,-0.182000,-1.122000,0.133000,-28.435000,7.183000,-9.153000,28.390000
0.637,-0.202000,-1.082000,0.122000,-23.099000,1.031000,-6.847000,28.290000
0.649,-0.256000,-1.030000,0.109000,-27.031000,-5.008000,-4.947000,28.340000
0.655,-0.286000,-1.011000,0.076000,-29.160000,-13.473000,-2.542000,28.340000
0.667,-0.316000,-1.050000,0.053000,-32.351000,-21.473000,-0.489000,28.390000
0.680,-0.297000,-1.113000,0.022000,-31.130000,-30.031000,4.237000,28.390000
0.687,-0.203000,-1.132000,0.076000,-26.763000,-19.939000,-5.336000,28.340000
0.698,-0.174000,-1.137000,0.058000,-21.962000,-0.290000,-14.771000,28.440000
0.705,-0.144000,-1.111000,0.074000,-14.786000,4.924000,-15.863000,28.340000
0.717,-0.100000,-1.070000,0.097000,-11.099000,19.466000,-14.252000,28.390000
0.730,-0.103000,-1.033000,0.097000,-3.931000,25.954000,-6.756000,28.480000
0.738,-0.165000,-1.048000,0.078000,-3.450000,22.046000,2.221000,28.530000
0.749,-0.263000,-1.029000,0.014000,-5.435000,6.771000,9.405000,28.340000
0.756,-0.365000,-1.067000,-0.049000,-3.153000,-19.786000,15.756000,28.440000
0.768,-0.308000,-1.009000,-0.005000,-2.916000,-32.328000,11.916000,28.480000
0.781,-0.236000,-0.944000,0.071000,-3.679000,-19.466000,-2.473000,28.390000
0.787,-0.185000,-0.894000,0.135000,-6.191000,-10.107000,-9.710000,28.440000
0.799,-0.166000,-0.908000,0.147000,-4.588000,-6.389000,-9.573000,28.440000
0.806,-0.109000,-0.940000,0.156000,-7.687000,2.229000,-10.695000,28.440000
0.818,-0.082000,-1.029000,0.159000,-8.702000,11.893000,-9.695000,28.480000
0.824,-0.074000,-1.111000,0.121000,-4.336000,18.992000,-6.412000,28.480000
0.839,-0.145000,-1.178000,0.106000,12.336000,18.420000,0.672000,28.390000
0.850,-0.278000,-1.075000,0.099000,16.618000,15.351000,7.191000,28.440000
