time_sec,ax,ay,az,gx,gy,gz,temp_c
0.013,0.193000,-0.127000,0.915000,-51.718000,51.718000,-35.595000,30.320000
0.018,0.148000,-0.177000,0.863000,-38.313000,57.084000,-31.679000,30.370000
0.024,0.115000,-0.199000,0.860000,-26.107000,60.198000,-28.611000,30.370000
0.036,0.051000,-0.245000,0.864000,-10.328000,63.962000,-28.092000,30.410000
0.049,0.034000,-0.216000,0.915000,6.061000,71.260000,-31.870000,30.320000
0.056,0.009000,-0.191000,0.956000,19.496000,80.649000,-37.191000,30.460000
0.068,-0.023000,-0.129000,0.999000,30.824000,89.557000,-42.885000,30.460000
0.074,-0.114000,-0.039000,1.054000,35.435000,91.634000,-45.397000,30.410000
0.090,-0.194000,0.066000,1.094000,30.878000,85.275000,-46.939000,30.370000
0.101,-0.228000,0.147000,1.106000,19.397000,73.466000,-47.557000,30.370000
0.106,-0.221000,0.176000,1.108000,6.916000,57.168000,-45.527000,30.410000
0.118,-0.178000,0.189000,1.106000,-5.702000,46.641000,-39.985000,30.410000
0.125,-0.160000,0.176000,1.084000,-18.244000,39.733000,-31.504000,30.270000
0.137,-0.152000,0.130000,1.052000,-28.267000,31.969000,-24.489000,30.370000
0.149,-0.165000,0.115000,1.021000,-35.160000,30.031000,-19.954000,30.410000
0.155,-0.155000,0.083000,0.998000,-41.145000,28.573000,-18.595000,30.410000
0.168,-0.169000,-0.005000,0.923000,-41.405000,22.130000,-15.221000,30.460000
0.174,-0.113000,-0.036000,0.900000,-35.802000,24.504000,-12.405000,30.370000
0.187,-0.076000,-0.035000,0.890000,-34.420000,30.198000,-12.969000,30.410000
0.198,-0.083000,-0.084000,0.867000,-31.908000,37.565000,-11.687000,30.320000
0.205,-0.089000,-0.100000,0.854000,-30.435000,42.611000,-7.924000,30.370000
0.217,-0.131000,-0.077000,0.818000,-32.244000,45.702000,-6.725000,30.370000
0.231,-0.207000,-0.167000,0.775000,-31.870000,37.802000,-4.443000,30.320000
0.236,-0.203000,-0.135000,0.754000,-33.870000,26.389000,-3.084000,30.460000
0.248,-0.171000,-0.127000,0.726000,-32.992000,24.389000,-2.710000,30.370000
0.255,-0.182000,-0.163000,0.728000,-33.855000,17.374000,-2.458000,30.410000
0.267,-0.112000,-0.150000,0.703000,-40.748000,15.053000,-0.053000,30.410000
0.281,-0.120000,-0.167000,0.692000,-42.489000,14.962000,0.931000,30.370000
0.286,-0.113000,-0.194000,0.695000,-39.405000,15.191000,1.893000,30.460000
0.299,-0.091000,-0.211000,0.719000,-33.534000,14.351000,2.565000,30.410000
0.305,-0.094000,-0.204000,0.737000,-29.763000,17.038000,3.824000,30.410000
0.317,-0.115000,-0.210000,0.751000,-26.847000,16.069000,4.756000,30.370000
