time_sec,ax,ay,az,gx,gy,gz,temp_c
0.015,0.075000,-0.048000,1.058000,-39.748000,38.908000,-29.542000,30.370000
0.018,0.067000,-0.052000,1.052000,-34.351000,35.992000,-29.695000,30.410000
0.030,0.080000,-0.006000,1.084000,-36.519000,28.710000,-28.527000,30.320000
0.042,0.074000,-0.049000,1.076000,-39.000000,33.137000,-28.748000,30.370000
0.049,0.070000,-0.084000,1.059000,-30.718000,31.664000,-31.840000,30.370000
0.061,0.035000,-0.108000,1.038000,-26.092000,35.382000,-30.863000,30.320000
0.073,0.020000,-0.093000,1.024000,-19.939000,31.321000,-27.275000,30.410000
0.085,0.031000,-0.084000,1.067000,-13.840000,29.473000,-20.382000,30.370000
0.092,0.010000,0.015000,1.156000,-8.229000,26.527000,-12.878000,30.370000
0.099,-0.020000,0.153000,1.255000,-12.031000,22.351000,-5.840000,30.320000
0.112,-0.054000,0.259000,1.310000,-26.351000,17.115000,0.611000,30.370000
0.120,-0.101000,0.294000,1.327000,-44.046000,7.901000,5.198000,30.370000
0.131,-0.091000,0.295000,1.299000,-61.878000,1.626000,9.031000,30.270000
0.148,-0.062000,0.234000,1.216000,-73.290000,-2.870000,15.565000,30.410000
0.150,-0.030000,0.177000,1.124000,-76.779000,-1.565000,20.351000,30.370000
0.162,-0.016000,0.139000,1.056000,-76.733000,2.382000,23.122000,30.370000
0.169,-0.000000,0.103000,0.981000,-72.824000,8.687000,24.511000,30.410000
0.181,-0.002000,0.075000,0.913000,-69.275000,14.679000,26.115000,30.270000
0.193,-0.028000,0.046000,0.865000,-65.687000,20.176000,28.076000,30.370000
0.201,-0.040000,0.032000,0.816000,-60.885000,24.847000,29.809000,30.320000
0.212,-0.048000,0.013000,0.779000,-58.550000,28.008000,30.847000,30.410000
0.219,-0.057000,0.008000,0.760000,-55.290000,33.893000,29.878000,30.370000
0.232,-0.063000,-0.013000,0.736000,-50.679000,37.969000,29.420000,30.270000
0.243,-0.101000,-0.050000,0.715000,-44.893000,39.412000,27.733000,30.320000
0.251,-0.164000,-0.078000,0.710000,-38.412000,34.611000,27.229000,30.410000
0.263,-0.191000,-0.038000,0.724000,-36.611000,29.817000,25.275000,30.460000
0.269,-0.222000,-0.004000,0.746000,-37.740000,24.198000,20.748000,30.370000
0.283,-0.235000,-0.008000,0.763000,-42.641000,17.527000,15.695000,30.410000
0.293,-0.223000,-0.017000,0.771000,-47.954000,10.366000,10.992000,30.370000
0.300,-0.216000,-0.066000,0.767000,-51.405000,4.000000,6.069000,30.370000
0.312,-0.192000,-0.134000,0.727000,-48.969000,-0.916000,2.733000,30.410000
0.319,-0.157000,-0.183000,0.743000,-42.069000,-3.550000,-0.275000,30.320000
0.333,-0.137000,-0.204000,0.745000,-36.153000,-4.443000,-1.847000,30.270000
0.343,-0.136000,-0.204000,0.779000,-33.191000,-4.168000,-2.954000,30.220000
0.350,-0.127000,-0.203000,0.815000,-30.176000,-2.290000,-4.802000,30.320000
0.362,-0.118000,-0.187000,0.852000,-29.878000,-0.840000,-6.145000,30.370000
0.368,-0.098000,-0.167000,0.870000,-31.733000,0.649000,-6.015000,30.270000
0.383,-0.096000,-0.181000,0.879000,-33.870000,-0.267000,-3.122000,30.320000
0.393,-0.105000,-0.206000,0.873000,-35.504000,-2.809000,1.924000,30.410000
0.400,-0.109000,-0.233000,0.854000,-33.221000,-6.053000,5.397000,30.370000
0.412,-0.118000,-0.246000,0.859000,-28.588000,-10.702000,8.198000,30.370000
0.418,-0.111000,-0.254000,0.852000,-25.229000,-12.916000,8.771000,30.320000
0.430,-0.106000,-0.264000,0.855000,-22.282000,-15.115000,9.885000,30.370000
0.443,-0.078000,-0.264000,0.882000,-17.748000,-14.588000,10.885000,30.370000
0.450,-0.058000,-0.264000,0.896000,-13.672000,-11.634000,11.061000,30.320000
0.461,-0.047000,-0.272000,0.904000,-9.153000,-7.412000,10.450000,30.410000
0.468,-0.045000,-0.255000,0.911000,-4.649000,-2.618000,10.092000,30.270000
0.482,-0.051000,-0.230000,0.918000,-1.351000,0.649000,9.656000,30.370000
0.493,-0.063000,-0.206000,0.926000,-0.588000,2.939000,8.069000,30.320000
