time_sec,ax,ay,az,gx,gy,gz,temp_c
0.014,-0.498000,0.843000,0.416000,4.153000,16.916000,66.160000,28.910000
0.019,-0.510000,0.864000,0.417000,5.130000,17.374000,68.626000,28.860000
0.031,-0.525000,0.888000,0.436000,6.947000,12.412000,70.595000,28.860000
0.038,-0.525000,0.905000,0.458000,7.931000,7.618000,74.015000,28.860000
0.050,-0.440000,1.008000,0.474000,6.191000,8.817000,69.985000,28.810000
0.057,-0.432000,1.010000,0.492000,1.145000,17.779000,68.023000,28.860000
0.069,-0.409000,1.028000,0.484000,-1.916000,21.595000,69.573000,28.860000
0.079,-0.401000,1.021000,0.470000,-5.863000,28.191000,68.748000,28.860000
0.089,-0.404000,0.996000,0.441000,-8.031000,31.809000,67.389000,28.810000
0.101,-0.396000,1.004000,0.412000,-8.061000,33.458000,66.786000,28.910000
0.110,-0.379000,1.015000,0.399000,-5.954000,35.176000,66.069000,28.950000
0.120,-0.363000,1.014000,0.406000,-2.863000,37.260000,65.397000,28.860000
0.127,-0.345000,1.019000,0.386000,-0.275000,40.214000,66.061000,28.910000
0.140,-0.341000,1.058000,0.391000,1.023000,44.931000,67.794000,28.810000
0.146,-0.363000,1.068000,0.391000,2.191000,48.374000,70.565000,28.950000
0.159,-0.417000,1.077000,0.389000,3.679000,50.160000,73.214000,28.860000
0.171,-0.462000,1.062000,0.388000,3.916000,48.947000,73.229000,28.910000
0.179,-0.523000,1.058000,0.379000,2.214000,44.076000,71.641000,28.910000
0.191,-0.558000,1.039000,0.395000,1.901000,35.542000,66.473000,28.860000
0.198,-0.565000,1.007000,0.414000,1.870000,27.359000,56.840000,28.770000
0.210,-0.545000,1.000000,0.423000,-2.763000,22.023000,48.137000,28.860000
0.216,-0.510000,0.999000,0.432000,-8.595000,16.412000,38.328000,28.810000
0.229,-0.453000,0.979000,0.440000,-16.450000,11.885000,29.809000,28.910000
0.241,-0.390000,0.988000,0.418000,-22.359000,9.260000,23.015000,28.860000
0.248,-0.314000,1.002000,0.397000,-25.763000,6.702000,18.336000,28.860000
0.260,-0.245000,1.017000,0.387000,-27.359000,3.618000,17.802000,28.810000
0.267,-0.177000,1.057000,0.390000,-26.779000,4.985000,19.878000,28.910000
0.280,-0.132000,1.098000,0.391000,-24.504000,8.237000,29.672000,28.860000
0.292,-0.133000,1.151000,0.364000,-20.557000,10.954000,33.214000,28.860000
0.298,-0.125000,1.167000,0.392000,-17.153000,18.656000,35.374000,28.910000
0.311,-0.123000,1.185000,0.407000,-12.611000,28.015000,45.855000,28.910000
0.317,-0.164000,1.169000,0.393000,-7.153000,36.672000,53.740000,28.860000
0.330,-0.216000,1.165000,0.382000,-3.679000,45.779000,59.420000,28.860000
0.337,-0.276000,1.144000,0.367000,-0.885000,54.656000,64.290000,28.860000
0.349,-0.360000,1.122000,0.361000,0.160000,58.557000,63.664000,28.910000
0.361,-0.428000,1.101000,0.340000,-0.656000,56.702000,57.992000,28.910000
0.368,-0.494000,1.064000,0.345000,-1.885000,47.962000,49.756000,28.770000
0.380,-0.516000,1.035000,0.343000,-2.977000,34.962000,38.725000,28.860000
